N,PDL,CALLE,COLONIA,LONGITUD,LATITUD,ID
1,1,BRUMA,VALLE DEL ÁNGEL,-98.217505,19.073776,URBANO
2,2,BRUMA,VALLE DEL ÁNGEL,-98.21725,19.073717,URBANO
3,3,BRUMA,VALLE DEL ÁNGEL,-98.216937,19.073639,URBANO
4,4,BRUMA,VALLE DEL ÁNGEL,-98.2167,19.073572,URBANO
5,5,BRUMA,VALLE DEL ÁNGEL,-98.216454,19.073496,URBANO
6,6,BRUMA,VALLE DEL ÁNGEL,-98.21615,19.073407,URBANO
7,7,BRUMA,VALLE DEL ÁNGEL,-98.215746,19.073297,URBANO
8,8,BRUMA,VALLE DEL ÁNGEL,-98.2154,19.073199,URBANO
9,9,BRUMA,VALLE DEL ÁNGEL,-98.215165,19.073149,URBANO
10,10,BRUMA,VALLE DEL ÁNGEL,-98.21489,19.073076,URBANO
11,11,BRUMA,VALLE DEL ÁNGEL,-98.214522,19.072981,URBANO
12,12,BRUMA,VALLE DEL ÁNGEL,-98.214244,19.072905,URBANO
13,13,BRUMA,VALLE DEL ÁNGEL,-98.213943,19.072821,URBANO
14,14,RAYO,VALLE DEL ÁNGEL,-98.214098,19.072659,URBANO
15,15,RAYO,VALLE DEL ÁNGEL,-98.214215,19.072276,URBANO
16,16,RAYO,VALLE DEL ÁNGEL,-98.214321,19.071927,URBANO
17,17,RAYO,VALLE DEL ÁNGEL,-98.214463,19.071475,URBANO
18,18,RAYO,VALLE DEL ÁNGEL,-98.214566,19.071147,URBANO
19,19,RAYO,VALLE DEL ÁNGEL,-98.214666,19.070806,URBANO
20,20,LLUVIA,VALLE DEL ÁNGEL,-98.214593,19.072747,URBANO
21,21,LLUVIA,VALLE DEL ÁNGEL,-98.214699,19.072405,URBANO
22,22,LLUVIA,VALLE DEL ÁNGEL,-98.214805,19.072067,URBANO
23,23,LLUVIA,VALLE DEL ÁNGEL,-98.214943,19.071607,URBANO
24,24,LLUVIA,VALLE DEL ÁNGEL,-98.215049,19.071282,URBANO
25,25,LLUVIA,VALLE DEL ÁNGEL,-98.215182,19.07088,URBANO
26,26,NUBE,VALLE DEL ÁNGEL,-98.215088,19.072889,URBANO
27,27,NUBE,VALLE DEL ÁNGEL,-98.215188,19.072551,URBANO
28,28,NUBE,VALLE DEL ÁNGEL,-98.215291,19.072198,URBANO
